Vertices,Avg.Time Taken
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.2800
9,0.6000
10,1.5200
11,3.6200
12,9.6000
13,27.0200
14,69.5200
15,191.8000
