Vertices,Avg.Time Taken
3,0.0000
4,0.0200
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0200
12,0.0200
13,0.0000
14,0.0200
15,0.0000
16,0.0000
17,0.0000
18,0.2000
19,0.0000
20,0.0200
21,0.0000
22,0.0000
23,0.2000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0200
35,0.1200
36,0.0000
37,0.0000
38,0.0000
39,0.0200
40,0.0200
41,0.0000
42,0.1400
43,0.0000
44,0.2000
45,0.0200
46,0.4200
47,0.2200
48,0.5200
49,0.4200
50,0.1000
